,Warehouse id,Region,SKU id,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,Predictions_Last1,June-21_Last1,Predictions_Last2,June-21_Last2
0,1,NORTH,1,27.0,13.0,30.0,14.0,22.0,8.0,8.0,8.0,8.0,8.0,8.0,13.0,28.33333333333333,19.0,8.0,12.0,14.0,12.0,18.0,8.0,8.0,8.0,8.0,14.0,8.0,9.0,8.0,8.0,12.0,8.0,8.0,8.0,8.0,8.0,14.0,16.0,8.0,12.0,12,9,12,9
1,1,NORTH,2,88.0,28.0,127.0,130.0,58.0,10.0,7.0,7.0,7.0,13.0,7.0,55.0,64.0,76.0,79.0,94.0,25.0,76.0,25.0,10.0,7.0,7.0,7.0,37.0,7.0,61.0,55.0,73.0,16.0,7.0,7.0,7.0,7.0,7.0,13.0,43.0,13.0,43.0,22,33,20,34
2,1,NORTH,3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,26.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,26.0,6.0,16,13,16,13
3,1,NORTH,4,162.0,184.0,110.0,172.0,90.0,40.0,18.0,26.0,18.0,66.0,18.0,100.0,140.0,84.0,104.0,94.0,132.0,172.0,48.0,40.0,98.0,72.0,24.0,18.0,18.0,64.0,312.0,134.0,82.0,78.0,38.0,18.0,22.0,28.0,36.0,148.6666666666667,58.0,18.0,60,54,60,54
4,1,NORTH,5,171.0,402.0,627.0,615.0,300.0,417.0,141.0,42.0,72.0,33.0,42.0,186.0,465.0,321.0,438.0,801.0,174.0,375.0,123.0,135.0,171.0,36.0,6.0,51.0,6.0,114.0,783.0,471.0,468.0,216.0,75.0,6.0,30.0,66.0,141.0,699.0,183.0,24.0,345,126,345,126
5,1,NORTH,6,4.0,4.0,4.0,52.0,4.0,12.0,4.0,4.0,4.0,4.0,4.0,12.0,84.0,80.0,20.0,32.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,32.0,4.0,4.0,4.0,4.0,4.0,4.0,24.0,4.0,4.0,6,7,6,7
6,1,NORTH,7,1179.0,435.0,335.0,719.0,791.0,783.0,875.0,935.0,1407.0,699.0,635.0,1520.333333333333,1427.0,307.0,859.0,295.0,755.0,1263.0,771.0,1127.0,1747.0,1411.0,1391.0,951.0,3.0,483.0,355.0,807.0,943.0,1259.0,1403.0,867.0,1707.0,791.0,1447.0,1499.0,763.0,395.0,1054,522,1127,770
7,1,NORTH,8,406.0,652.0,844.0,541.0,703.0,634.0,523.0,688.0,1267.0,463.0,436.0,1196.0,1234.0,319.0,901.0,280.0,508.0,538.0,382.0,622.0,1162.0,586.0,625.0,409.0,4.0,508.0,490.0,424.0,934.0,352.0,589.0,274.0,985.0,838.0,649.0,694.0,430.0,250.0,549,328,549,328
8,1,NORTH,9,264.0,244.0,159.0,204.0,84.0,129.0,248.0,166.0,273.0,186.0,106.0,496.0,130.0,97.0,65.0,204.0,123.0,267.0,135.0,277.0,418.0,303.0,488.0,157.0,83.66666666666667,83.0,131.0,152.0,226.0,437.0,147.0,175.0,359.0,507.0,212.0,235.0,161.0,67.0,191,104,191,104
9,1,NORTH,10,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,588.0,406.0,129.0,169.0,110.0,114.0,299.0,240.0,331.0,364.0,346.0,149.0,352.0,8.0,106.0,108.0,148.0,237.0,244.0,235.0,140.0,524.0,396.0,252.0,429.6666666666667,92.0,40.0,205,148,205,148
10,1,NORTH,11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,55.0,143.0,37.0,97.0,65.0,141.6666666666667,105.0,173.0,45.0,67.0,139,40,139,40
